time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/explained_variance
937,-113.8894306,2048,379.6,2,1,,,,,,,,,,,
766,-113.44462957142856,4096,506.7142857142857,5,2,147.75530758798124,0.009507943,0.06982421875,-5.6981311902403835,10,0.0003,0.2,3.353381633758545,-0.01015331176458858,1.0092744827270508,0.010303378105163574
674,-111.27408191666667,6144,453.5,9,3,33.12346611656248,0.011709087,0.1681640625,-5.702845105528832,20,0.0003,0.2,0.9779342412948608,-0.014210607108543627,1.0043935775756836,0.2550061345100403
605,-110.63126169230772,8192,541.6923076923077,13,4,113.42422077581287,0.007933357,0.037744140625,-5.692056261003017,30,0.0003,0.2,8.583128929138184,-0.0054286143917124715,1.004555583000183,0.2958559989929199
574,-110.8034778666667,10240,584.2666666666667,17,5,0.3697953329188749,0.010842314,0.127880859375,-5.647660364210606,40,0.0003,0.2,0.049582529813051224,-0.014249971829121933,0.9844928979873657,-1.549135446548462
564,-108.6812733,12288,610.6,21,6,36.87121864119545,0.006405133,0.056396484375,-5.613281697034836,50,0.0003,0.2,10.43469524383545,-0.007701048054150306,0.9846750497817993,0.022598981857299805
565,-108.34252052380953,14336,657.7142857142857,25,7,79.81839454490691,0.0059268647,0.030126953125,-5.612078627943992,60,0.0003,0.2,1.3760021924972534,-0.0046410136885242535,0.9830412864685059,0.18902021646499634
559,-107.76343786363637,16384,700.5454545454545,29,8,0.48581438448745756,0.009176759,0.1015625,-5.581592461466789,70,0.0003,0.2,0.1356196403503418,-0.009111882883007637,0.970355212688446,0.6616580784320831
548,-107.94566079999998,18432,685.76,33,9,0.15686775110661982,0.010005142,0.1060546875,-5.534259462356568,80,0.0003,0.2,0.06030160188674927,-0.01242550666211173,0.960676908493042,0.7145431339740753
545,-107.42964433333333,20480,753.4814814814815,37,10,44.13146232967265,0.0054273754,0.03916015625,-5.511925873160362,90,0.0003,0.2,4.6335368156433105,-0.00621959449199494,0.9590845108032227,0.35710519552230835
