time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/std,train/loss,train/approx_kl
8,58,512,1,,,,,,,,,,,,,
18,54,1024,2,0.034375,0.2,0.0002,0.9810432970523835,10,-52.380952,-4.253629219532013,1000.0,-0.004008006607182324,0.002342522144317627,0.9983081221580505,0.27725982666015625,0.0049350597
26,56,1536,3,0.0361328125,0.2,0.0002,0.8992735765874386,20,-52.380952,-4.2499483823776245,1000.0,-0.004603675054386258,0.07561802864074707,0.996630072593689,0.30861327052116394,0.005340817
36,55,2048,4,0.0966796875,0.2,0.0002,0.9687925815582276,30,-52.724772,-4.244475948810577,1000.0,-0.009170544543303549,0.04384410381317139,0.9950516223907471,0.3991491496562958,0.007693937
46,54,2560,5,0.019921875,0.2,0.0002,0.6272207967936992,40,-52.724772,-4.2386674284935,1000.0,-0.0015309812035411597,-0.13582777976989746,0.9924782514572144,0.13866473734378815,0.004641811
56,54,3072,6,0.084765625,0.2,0.0002,0.9928150862455368,50,-52.13098,-4.230319619178772,1000.0,-0.006407792982645333,0.039163053035736084,0.9898557662963867,0.40868785977363586,0.0059565706
65,54,3584,7,0.0875,0.2,0.0002,0.4920002495869994,60,-52.13098,-4.224147665500641,1000.0,-0.004333450715057552,0.13167130947113037,0.9890674352645874,0.09321160614490509,0.0071356576
75,54,4096,8,0.12265625,0.2,0.0002,0.5974067755043506,70,-51.769468,-4.223825657367707,1000.0,-0.00801049763103947,-0.0011069774627685547,0.9890502691268921,0.21058592200279236,0.010035895
84,54,4608,9,0.0501953125,0.2,0.0002,0.7078014738857746,80,-51.769468,-4.2236573696136475,1000.0,-0.000797244836576283,0.19931060075759888,0.9889230728149414,0.295073539018631,0.0038457247
93,54,5120,10,0.0736328125,0.2,0.0002,0.48854916766285894,90,-55.513935000000004,-4.225315809249878,1000.0,-0.004165971325710416,-0.14529764652252197,0.9909152984619141,0.23494817316532135,0.0053864573
102,54,5632,11,0.0603515625,0.2,0.0002,0.3597897607833147,100,-55.513935000000004,-4.228272914886475,1000.0,-0.0042956033255904915,0.5893169045448303,0.9882842898368835,0.07629953324794769,0.006849219
111,55,6144,12,0.065625,0.2,0.0002,0.18415121368598192,110,-58.74667816666667,-4.217088663578034,1000.0,-0.002142726583406329,0.3891313076019287,0.9859864115715027,0.07509398460388184,0.0062599927
120,55,6656,13,0.13046875,0.2,0.0002,0.5260223969817162,120,-58.74667816666667,-4.21353908777237,1000.0,-0.006371357874013483,0.5734809637069702,0.985429048538208,0.11888343095779419,0.0045501995
129,55,7168,14,0.1005859375,0.2,0.0002,0.47483986653387544,130,-58.539349,-4.212918269634247,1000.0,-0.009602501150220632,0.868815466761589,0.9855291843414307,0.08668509125709534,0.005019442
138,55,7680,15,0.09609375,0.2,0.0002,0.46840607933700085,140,-58.539349,-4.211082565784454,1000.0,-0.007212392729707062,0.8438176661729813,0.9839601516723633,0.11085957288742065,0.0070484034
147,55,8192,16,0.0802734375,0.2,0.0002,0.23768478487618266,150,-59.737866625,-4.207936084270477,1000.0,-0.003977477527223527,0.8026207387447357,0.9842319488525391,0.03809450566768646,0.0066651106
155,55,8704,17,0.0599609375,0.2,0.0002,0.5167786050587893,160,-59.737866625,-4.209443795681,1000.0,-0.0038958424469456077,0.8245673030614853,0.9844050407409668,0.11456406116485596,0.004671095
164,56,9216,18,0.028125,0.2,0.0002,0.19176935525611044,170,-60.39464311111111,-4.208747696876526,1000.0,-0.001957732858136296,0.6802776753902435,0.9838001132011414,0.09973686933517456,0.0033173333
173,56,9728,19,0.082421875,0.2,0.0002,0.6776314146816731,180,-60.39464311111111,-4.207268953323364,1000.0,-0.005887298076413572,0.9121339246630669,0.9835886359214783,0.7436866164207458,0.0068483595
182,56,10240,20,0.073828125,0.2,0.0002,0.44717402271926404,190,-56.08179749999999,-4.206380081176758,1000.0,-0.007388933165930212,0.8141258209943771,0.982921302318573,0.08493990451097488,0.0053447215
192,55,10752,21,0.08828125,0.2,0.0002,1.1725352257490158,200,-56.08179749999999,-4.202839493751526,1000.0,-0.005169190000742674,0.6278258860111237,0.981536865234375,0.41222089529037476,0.011535086
201,55,11264,22,0.090625,0.2,0.0002,0.6863321557641029,210,-53.10687627272727,-4.198147451877594,1000.0,-0.010186298633925617,0.8958496898412704,0.979303777217865,0.33635103702545166,0.0052698213
210,55,11776,23,0.1533203125,0.2,0.0002,1.0690349653363227,220,-53.10687627272727,-4.191898059844971,1000.0,-0.016982707532588393,0.0984845757484436,0.9780337810516357,0.20890019834041595,0.010708862
219,56,12288,24,0.0908203125,0.2,0.0002,0.4510710483416915,230,-52.57019216666666,-4.188746273517609,1000.0,-0.0105505385203287,0.6448997557163239,0.977367103099823,0.04761197417974472,0.0072754235
228,56,12800,25,0.086328125,0.2,0.0002,0.7663323126733304,240,-52.57019216666666,-4.187494087219238,1000.0,-0.009814578597433865,0.8351811766624451,0.9772910475730896,0.2851705253124237,0.012747891
237,56,13312,26,0.1146484375,0.2,0.0002,0.9159574702382087,250,-51.165298076923065,-4.186090457439422,1000.0,-0.0038055300479754805,0.2722134590148926,0.9761947393417358,0.3667304515838623,0.006253034
245,56,13824,27,0.1265625,0.2,0.0002,0.5259840935468674,260,-51.165298076923065,-4.182436263561248,1000.0,-0.012904229457490146,0.8362320512533188,0.9750962257385254,0.16417783498764038,0.009050945
254,56,14336,28,0.145703125,0.2,0.0002,0.10969052521977574,270,-52.05178814285713,-4.178633689880371,1000.0,-0.006587082799524069,0.3771984577178955,0.9737712740898132,0.010335050523281097,0.010891984
263,56,14848,29,0.101171875,0.2,0.0002,0.34222700260579586,280,-52.05178814285713,-4.1766972780227665,1000.0,-0.0072913070442155005,0.8879927918314934,0.9742853045463562,0.0810021460056305,0.0127243865
272,56,15360,30,0.152734375,0.2,0.0002,0.04901443826965988,290,-52.94948499999999,-4.180181169509888,1000.0,-0.014013110077939928,0.9590060263872147,0.9760071039199829,-0.007307594642043114,0.010511689
281,56,15872,31,0.147265625,0.2,0.0002,0.5590242683887482,300,-52.94948499999999,-4.183087921142578,1000.0,-0.012317842501215637,0.8956668302416801,0.975355327129364,0.21193157136440277,0.007897712
289,56,16384,32,0.0443359375,0.2,0.0002,0.12726995470002295,310,-53.7616591875,-4.177766740322113,1000.0,-0.006037276005372405,0.8447928577661514,0.973172664642334,0.028924986720085144,0.0042591062
297,56,16896,33,0.137890625,0.2,0.0002,0.30025942008942363,320,-53.7616591875,-4.171244716644287,1000.0,-0.010343982721678913,0.9208436086773872,0.9711045622825623,0.0702381432056427,0.010656705
306,56,17408,34,0.149609375,0.2,0.0002,0.2746239397674799,330,-54.402991647058826,-4.165302181243897,1000.0,-0.013746354263275862,0.8507050424814224,0.9695477485656738,0.0064866915345191956,0.0074836724
