time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/explained_variance,train/std,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/clip_range,train/clip_fraction
512,5,89,1,,,,,,,,,,,,,
1024,14,70,2,0.008350793,10,-4.262759244441986,6.712806758284569,0.001,-47.183099,-0.0014771223068237305,0.9998975992202759,1000.0,0.002879156731069088,0.40131884813308716,0.2,0.134375
1536,20,74,3,0.0071699424,20,-4.253930568695068,0.7969589479267597,0.001,-47.183099,0.00044989585876464844,0.9991797208786011,1000.0,-0.005979687010403722,0.15353775024414062,0.2,0.09609375
2048,27,74,4,0.0045236363,30,-4.256979608535767,0.7147640295326709,0.001,-46.1721945,-0.024309515953063965,0.9998785853385925,1000.0,-0.006103662098757923,0.24115872383117676,0.2,0.115234375
2560,33,76,5,0.011173058,40,-4.249582922458648,0.5044025097042322,0.001,-46.1721945,0.2529681324958801,0.9954079389572144,1000.0,-0.005582239478826523,0.19934019446372986,0.2,0.05234375
3072,41,73,6,0.01240346,50,-4.2432894825935366,0.9646803930401802,0.001,-41.387523666666674,0.11350077390670776,0.9954657554626465,1000.0,-0.004729053494520486,0.5846297740936279,0.2,0.1392578125
3584,47,75,7,0.007591766,60,-4.2506819605827335,0.5665408074855804,0.001,-41.387523666666674,0.3236234188079834,1.0024080276489258,1000.0,-0.01664227561559528,0.18975163996219635,0.2,0.173828125
4096,53,76,8,0.011356195,70,-4.253721570968628,0.6634460747241974,0.001,-48.78257825,0.03648477792739868,0.9914531707763672,1000.0,-0.010825377376750111,0.1826360821723938,0.2,0.1423828125
4608,59,76,9,0.0060253376,80,-4.220925891399384,0.6737435974180699,0.001,-48.78257825,-0.4457658529281616,0.9858684539794922,1000.0,-0.002842210582457483,0.18752311170101166,0.2,0.1505859375
5120,68,74,10,0.008685874,90,-4.205689346790313,0.8291026145219803,0.001,-47.0542316,0.3624085783958435,0.9788629412651062,1000.0,-0.011408832494635136,0.3125905990600586,0.2,0.13515625
5632,74,75,11,0.009188481,100,-4.182855689525605,0.7432168126106262,0.001,-47.0542316,0.23575764894485474,0.9719783067703247,1000.0,-0.008001418947242201,0.23175811767578125,0.2,0.1212890625
6144,80,75,12,0.008184502,110,-4.165722906589508,0.39716486260294914,0.001,-50.44964466666667,0.4462350606918335,0.96724534034729,1000.0,-0.012986183911561967,0.06627435982227325,0.2,0.187109375
6656,87,76,13,0.010443424,120,-4.1480390429496765,0.4675173155963421,0.001,-50.44964466666667,0.689415454864502,0.9606584906578064,1000.0,-0.004631704604253173,0.1085151731967926,0.2,0.1357421875
7168,95,75,14,0.010867801,130,-4.130828845500946,0.7007230073213577,0.001,-50.598629285714296,0.6357217729091644,0.9592145681381226,1000.0,-0.006778600555844605,0.25038987398147583,0.2,0.12265625
7680,101,75,15,0.018205736,140,-4.120488905906678,0.5156492900103331,0.001,-50.598629285714296,0.9095248579978943,0.9497838020324707,1000.0,-0.005276520433835685,0.10336923599243164,0.2,0.15703125
8192,107,76,16,0.009589927,150,-4.090145063400269,1.2320733204483987,0.001,-44.7081635,0.44365638494491577,0.9435588121414185,1000.0,-0.0065832297084853055,0.5220023989677429,0.2,0.12421875
8704,114,76,17,0.011589671,160,-4.074289762973786,0.7547638706862927,0.001,-44.7081635,0.8141691982746124,0.9391723871231079,1000.0,-0.008661677269265056,0.1830786168575287,0.2,0.183984375
9216,122,75,18,0.015619574,170,-4.050358676910401,0.20007419791072606,0.001,-44.53434677777778,0.7360524237155914,0.9257025122642517,1000.0,-0.00801094020716846,-0.0030310582369565964,0.2,0.1232421875
9728,129,75,19,0.020491842,180,-4.009347152709961,0.7402172163128853,0.001,-44.53434677777778,0.7665710598230362,0.9191654920578003,1000.0,-0.013484146120026708,0.21242330968379974,0.2,0.18671875
10240,135,75,20,0.009477992,190,-3.9913012385368347,1.1902095213532449,0.001,-38.0667778,0.45359885692596436,0.9128859043121338,1000.0,-0.0088416408165358,0.23799251019954681,0.2,0.1833984375
10752,143,75,21,0.017093707,200,-3.967453730106354,1.1837947525084018,0.001,-38.0667778,0.7662338763475418,0.9064663648605347,1000.0,-0.008813168201595546,0.34584927558898926,0.2,0.1548828125
11264,150,74,22,0.014424341,210,-3.94945165514946,0.18537361670751124,0.001,-39.353291636363636,0.32436251640319824,0.8994759917259216,1000.0,-0.011385695775970817,-0.0016165552660822868,0.2,0.2181640625
11776,157,74,23,0.012543673,220,-3.921592116355896,0.40747938975691794,0.001,-39.353291636363636,0.9189470410346985,0.8919968008995056,1000.0,-0.007900330540724098,0.09969112277030945,0.2,0.1708984375
12288,164,74,24,0.0076637897,230,-3.891827827692032,0.8275919735431672,0.001,-36.051267083333336,0.3173370361328125,0.8816820979118347,1000.0,-0.013819329859688877,0.2931557595729828,0.2,0.194140625
12800,172,74,25,0.015068097,240,-3.8498282015323637,0.5237894095480442,0.001,-36.051267083333336,0.6239432096481323,0.864116370677948,1000.0,-0.01662405871320516,0.16717100143432617,0.2,0.1708984375
13312,180,73,26,0.01763954,250,-3.7753074169158936,0.4596820749342442,0.001,-34.07533469230769,0.01834625005722046,0.8431259989738464,1000.0,-0.0207168226595968,0.053805772215127945,0.2,0.2013671875
13824,188,73,27,0.021492682,260,-3.728379946947098,0.7969719432294369,0.001,-34.07533469230769,0.18517541885375977,0.8381203413009644,1000.0,-0.02371276868507266,0.18696197867393494,0.2,0.2630859375
14336,195,73,28,0.014101174,270,-3.71154328584671,0.4454515613615513,0.001,-33.71667178571429,0.5435307919979095,0.8310548067092896,1000.0,-0.009849836793728172,0.05365510284900665,0.2,0.1505859375
14848,204,72,29,0.01413884,280,-3.6777077198028563,0.512815485522151,0.001,-33.71667178571429,0.7741120308637619,0.8226335048675537,1000.0,-0.021835613274015488,0.07179553806781769,0.2,0.2021484375
15360,210,72,30,0.013158575,290,-3.660727006196976,0.13481391719542443,0.001,-35.386419466666666,0.6971474885940552,0.8228136897087097,1000.0,0.003348808782175183,0.023159269243478775,0.2,0.2115234375
15872,217,72,31,0.017850343,300,-3.6517863869667053,0.37797156199812887,0.001,-35.386419466666666,0.8798729032278061,0.8136531114578247,1000.0,-0.015499536134302615,0.045624762773513794,0.2,0.17421875
16384,225,72,32,0.026265506,310,-3.6113821625709535,0.07117422483861446,0.001,-36.512581874999995,0.7506904006004333,0.8065180778503418,1000.0,-0.004846089310012758,0.0024537090212106705,0.2,0.3046875
16896,235,71,33,0.02375484,320,-3.5929645240306853,0.8063794329762459,0.001,-36.512581874999995,0.7183457612991333,0.8024656176567078,1000.0,-0.014288300252519547,0.2010136842727661,0.2,0.2275390625
17408,241,72,34,0.009861402,330,-3.586313033103943,0.36463056821376083,0.001,-35.625287117647055,0.8515715003013611,0.8025218844413757,1000.0,-0.014384142542257904,0.004986800253391266,0.2,0.1201171875
17920,248,72,35,0.024021309,340,-3.577713984251022,0.2791124047711492,0.001,-35.625287117647055,0.9285910651087761,0.7991823554039001,1000.0,-0.015314214047975838,0.06579801440238953,0.2,0.2791015625
18432,254,72,36,0.021259673,350,-3.575389540195465,0.04237999212928116,0.001,-42.92822016666666,0.9057887941598892,0.8026553392410278,998.8888888888889,-0.015776797151193022,-0.014995991252362728,0.2,0.171875
18944,262,72,37,1.3755202,360,-3.5851504683494566,32.8373001486063,0.001,-42.92822016666666,0.11120271682739258,0.8038105964660645,998.8888888888889,-0.001664603571407497,0.9330638647079468,0.2,0.611328125
19456,268,72,38,0.011782924,370,-3.5871280133724213,0.4424204142764211,0.001,-41.19346363157894,0.48725461959838867,0.8037762641906738,998.9473684210526,-0.013051897380501032,0.056341178715229034,0.2,0.237109375
