train/n_updates,rollout/exploration_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,train/learning_rate,time/time_elapsed
974,0.8413333333333329,0.045315295457839966,-52.67689500000001,1000.0,4000,4,52,0.001,76
1974,0.782666666666667,0.047919195145368576,-52.986924375,1000.0,8000,8,47,0.001,167
2974,0.7239999999999999,0.00018982600886374712,-49.52002966666668,1000.0,12000,12,46,0.001,260
3974,0.6653333333333338,0.09548953175544739,-50.1183214375,1000.0,16000,16,44,0.001,356
4974,0.6066666666666668,0.04670273885130882,-47.2019679,1000.0,20000,20,44,0.001,448
5974,0.5479999999999998,2.5176261260639876e-05,-49.00279291666667,1000.0,24000,24,44,0.001,545
6974,0.4893333333333336,0.039793290197849274,-46.02591189285715,1000.0,28000,28,43,0.001,641
7974,0.43066666666666664,0.049139853566884995,-44.95043459375,1000.0,32000,32,43,0.001,741
8974,0.37199999999999955,0.03571590781211853,-46.929348527777776,1000.0,36000,36,42,0.001,845
9974,0.3133333333333336,0.053657617419958115,-46.950302975,1000.0,40000,40,41,0.001,952
10974,0.2546666666666665,0.09744523465633392,-45.161767363636365,1000.0,44000,44,41,0.001,1059
11974,0.1960000000000004,2.512845867386204e-06,-46.6094234375,1000.0,48000,48,41,0.001,1160
12974,0.13733333333333342,0.04539264738559723,-46.54087411538462,1000.0,52000,52,41,0.001,1257
13974,0.07866666666666633,0.0034737486857920885,-47.97108164285714,1000.0,56000,56,41,0.001,1356
14448,0.05087333333333355,0.14393652975559235,-48.3300313,964.9166666666666,57895,60,41,0.001,1402
14843,0.027729333333333495,0.25091731548309326,-49.681083656249996,929.265625,59473,64,41,0.001,1440
15378,0.02,0.2935527265071869,-49.815952411764705,906.0882352941177,61614,68,41,0.001,1491
15917,0.02,0.04213455691933632,-48.40189740277778,885.7083333333334,63771,72,41,0.001,1543
16453,0.02,0.005110445898026228,-48.110609473684214,867.3157894736842,65916,76,41,0.001,1596
16842,0.02,0.4413163959980011,-47.2685847125,843.3625,67469,80,41,0.001,1632
