train/entropy_loss,train/std,train/explained_variance,train/n_updates,train/value_loss,time/total_timesteps,time/iterations,train/policy_loss,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
-4.240767955780029,0.9936891198158264,2.980232238769531e-07,99,1.3214669227600098,4000,100,1.3022377490997314,0.0007,42,94,,
-4.244952201843262,0.9960503578186035,-1.1920928955078125e-07,199,3.802728679147549e-05,8000,200,-0.024061137810349464,0.0007,42,189,1000.0,-64.44643562499999
-4.2054948806762695,0.9829631447792053,0.0,299,5.629034785670228e-05,12000,300,-0.033298246562480927,0.0007,44,267,1000.0,-64.44643562499999
-4.204739570617676,0.9828160405158997,0.003603696823120117,399,2.2882887251718387e-10,16000,400,-6.35079195490107e-05,0.0007,45,349,1000.0,-68.966967125
-4.1795973777771,0.9746108055114746,-0.00019097328186035156,499,1.54421832121443e-06,20000,500,-0.004620809573680162,0.0007,45,437,1000.0,-68.966967125
-4.173755168914795,0.9727298617362976,-2.6106834411621094e-05,599,3.787478635786101e-05,24000,600,-0.023032095283269882,0.0007,45,523,1000.0,-68.69911524999999
-4.177792549133301,0.9739887714385986,-2.9206275939941406e-05,699,6.683828542008996e-05,28000,700,-0.03271851688623428,0.0007,45,614,1000.0,-68.69911524999999
-4.1737380027771,0.9727118611335754,-0.0008779764175415039,799,1.012338515238298e-07,32000,800,-0.0012975712306797504,0.0007,45,703,1000.0,-69.8298109375
-4.179174900054932,0.974484920501709,3.713369369506836e-05,899,1.8415015802020207e-05,36000,900,-0.016357993707060814,0.0007,45,796,1000.0,-69.8298109375
-4.1776933670043945,0.9740623831748962,-1.3709068298339844e-05,999,3.363263022038154e-05,40000,1000,-0.020920058712363243,0.0007,45,878,1000.0,-71.03339295
-4.17289400100708,0.9724500775337219,-1.1920928955078125e-07,1099,4.277508924133144e-05,44000,1100,-0.025502264499664307,0.0007,45,960,1000.0,-71.03339295
-4.167941570281982,0.9709299206733704,0.05806446075439453,1199,3.383320359984232e-11,48000,1200,-2.091737223963719e-05,0.0007,45,1056,1000.0,-72.15808491666667
-4.162053108215332,0.9690492749214172,1.1920928955078125e-07,1299,7.79598776716739e-05,52000,1300,-0.03137701004743576,0.0007,44,1155,1000.0,-72.15808491666667
-4.124760150909424,0.9567640423774719,-1.1920928955078125e-07,1399,0.01618875376880169,56000,1400,-0.5015701055526733,0.0007,44,1249,1000.0,-70.54714125
-4.142529487609863,0.9625837206840515,0.0,1499,0.000286427850369364,60000,1500,-0.07033577561378479,0.0007,44,1334,1000.0,-70.54714125
-4.126937389373779,0.9578537940979004,0.0,1599,0.022883998230099678,64000,1600,-0.5483373403549194,0.0007,44,1426,992.09375,-71.3248389375
-4.120830059051514,0.9558892250061035,0.0,1699,4.475253081182018e-05,68000,1700,-0.02433919347822666,0.0007,44,1527,992.09375,-71.3248389375
-4.118163585662842,0.955061137676239,0.0,1799,2.8029870009049773e-05,72000,1800,-0.01770145073533058,0.0007,44,1624,992.9722222222222,-71.04316031944444
-4.108176231384277,0.9523884654045105,-1.1920928955078125e-07,1899,0.7373952865600586,76000,1900,0.9812210202217102,0.0007,44,1722,992.9722222222222,-71.04316031944444
-4.108642101287842,0.9518473744392395,0.0,1999,0.0533752366900444,80000,2000,-0.8894650340080261,0.0007,44,1807,993.675,-68.31087190000001
-4.1083574295043945,0.951895534992218,0.0,2099,0.00019537235493771732,84000,2100,-0.04822686314582825,0.0007,44,1885,993.675,-68.31087190000001
-4.0963826179504395,0.9463271498680115,-1.1920928955078125e-07,2199,0.5832310914993286,88000,2200,0.370993435382843,0.0007,44,1980,994.25,-67.00981488636363
-4.075488567352295,0.9413414001464844,0.0,2299,0.0012089693918824196,92000,2300,-0.1355786770582199,0.0007,44,2064,994.25,-67.00981488636363
-4.065727710723877,0.9386323094367981,0.0,2399,0.012606930918991566,96000,2400,-0.4064218997955322,0.0007,44,2145,994.7291666666666,-66.23664811458333
-4.058224678039551,0.936424970626831,0.0,2499,1.0909804105758667,100000,2500,1.3359706401824951,0.0007,44,2225,994.7291666666666,-66.23664811458333
