train/n_updates,time/fps,rollout/exploration_rate,train/learning_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/loss
1,954,0.8906720000000005,0.001,0,106,26.5,4,26.5,0.5363128185272217
40,1435,0.8769440000000004,0.001,0,262,32.75,8,32.75,0.012761225923895836
74,1615,0.8649760000000002,0.001,0,398,33.166666666666664,12,33.166666666666664,0.0045019835233688354
91,1695,0.8588159999999999,0.001,0,468,29.25,16,29.25,0.003917614929378033
109,1728,0.8524800000000003,0.001,0,540,27.0,20,27.0,0.001893735257908702
128,1755,0.8460560000000003,0.001,0,613,25.541666666666668,24,25.541666666666668,0.0020168235059827566
148,1787,0.8389280000000005,0.001,0,694,24.785714285714285,28,24.785714285714285,0.0006814757362008095
171,1812,0.8307439999999996,0.001,0,787,24.59375,32,24.59375,0.0005799583741463721
193,1822,0.8230880000000003,0.001,0,874,24.27777777777778,36,24.27777777777778,0.00033938861452043056
208,1829,0.8178960000000005,0.001,0,933,23.325,40,23.325,0.0006295526400208473
227,1845,0.8109439999999999,0.001,0,1012,23.0,44,23.0,0.00020613735250663012
243,1856,0.8055759999999998,0.001,0,1073,22.354166666666668,48,22.354166666666668,0.0003232024610042572
262,1870,0.7988000000000004,0.001,0,1150,22.115384615384617,52,22.115384615384617,0.00048175762640312314
275,1872,0.7940479999999996,0.001,0,1204,21.5,56,21.5,0.00035413954174146056
290,1878,0.7888559999999998,0.001,0,1263,21.05,60,21.05,0.00034927742672152817
304,1887,0.7838400000000001,0.001,0,1320,20.625,64,20.625,0.0004119151853956282
320,1878,0.778296,0.001,0,1383,20.33823529411765,68,20.33823529411765,0.001550100278109312
335,1830,0.7730159999999996,0.001,0,1443,20.041666666666668,72,20.041666666666668,0.0001690826757112518
348,1826,0.7684399999999999,0.001,0,1495,19.67105263157895,76,19.67105263157895,0.000486622448079288
363,1831,0.763248,0.001,0,1554,19.425,80,19.425,0.0006480575539171696
380,1830,0.7571760000000003,0.001,0,1623,19.321428571428573,84,19.321428571428573,0.0004937095800414681
394,1829,0.7523359999999999,0.001,0,1678,19.068181818181817,88,19.068181818181817,0.000408517342293635
411,1828,0.7464400000000003,0.001,0,1745,18.967391304347824,92,18.967391304347824,0.0006488857907243073
425,1835,0.7412479999999995,0.001,0,1804,18.791666666666668,96,18.791666666666668,0.0007154872873798013
440,1843,0.7359680000000001,0.001,1,1864,18.64,100,18.64,0.0002241949550807476
457,1840,0.7301600000000001,0.001,1,1930,18.24,104,18.24,0.0003407555050216615
480,1848,0.7218879999999998,0.001,1,2024,17.62,108,17.62,0.00027023174334317446
498,1852,0.715816,0.001,1,2093,16.95,112,16.95,0.0005229722009971738
