time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/explained_variance,train/value_loss,train/clip_range,train/approx_kl,train/n_updates,train/clip_fraction,train/entropy_loss,train/loss,train/policy_gradient_loss,train/learning_rate
1,4526,21.64,21.64,8192,1,,,,,,,,,,
7,2195,36.37,36.37,16384,2,0.0045778751373291016,20.03210023753345,0.2,0.014408816,10,0.2038330078125,-0.6818223809357733,3.616643190383911,-0.024138324946761713,0.0003
13,1889,64.25,64.25,24576,3,0.3870546221733093,27.76943565607071,0.2,0.016591646,20,0.19300537109375,-0.6469817603938282,10.81120491027832,-0.033568803543312244,0.0003
17,1825,103.99,103.99,32768,4,0.39719027280807495,45.45251538604498,0.2,0.011396712,30,0.1609130859375,-0.6012578454799951,17.709474563598633,-0.02879005736031104,0.0003
22,1802,159.63,159.63,40960,5,0.5428705513477325,33.323626074567436,0.2,0.015435973,40,0.14986572265625,-0.5676613666117192,12.909906387329102,-0.020251484616164817,0.0003
27,1805,218.46,218.46,49152,6,0.7455815076828003,14.082703391928225,0.2,0.011246916,50,0.12305908203125,-0.5453528738580644,1.6798720359802246,-0.013773397840486723,0.0003
32,1756,275.69,275.69,57344,7,0.9036759585142136,9.754387001972646,0.2,0.008383724,60,0.10367431640625,-0.5412856208859012,8.296619415283203,-0.013822349936526734,0.0003
37,1726,324.42,324.42,65536,8,0.9112139716744423,7.452778902975842,0.2,0.008447716,70,0.0997314453125,-0.5322047670139,2.874018430709839,-0.010289782450854545,0.0003
43,1676,373.39,373.39,73728,9,0.9643769599497318,2.8071228425367734,0.2,0.009020204,80,0.13690185546875,-0.5175980537431315,0.650590181350708,-0.014107503217383055,0.0003
49,1640,423.58,423.58,81920,10,0.940034706145525,1.182431116720545,0.2,0.005916769,90,0.07410888671875,-0.4900927017442882,0.28037118911743164,-0.007711931796802673,0.0003
56,1607,459.16,459.16,90112,11,0.4704567790031433,0.9008771947235801,0.2,0.0035245148,100,0.02884521484375,-0.4739556226413697,0.10308007895946503,-0.0014916740015905815,0.0003
62,1585,484.77,484.77,98304,12,0.124575674533844,0.6649605584178062,0.2,0.0022046496,110,0.0116943359375,-0.461818285821937,0.05952775105834007,-0.00014690774769405835,0.0003
68,1546,496.38,496.38,106496,13,0.18440741300582886,0.42644881407577484,0.2,0.0048350706,120,0.04327392578125,-0.45639728466048834,0.04821929335594177,-0.0018529732358729234,0.0003
